chunk_id	volume	section	anchor_label	class	subclass	raw_text	normalized_target	confidence	resolution	ibid_resolved	antecedent
bon-sent-I-d1-a1-q1	1	apparatus:13	13	crossref	relative-bare	ibid.			unresolvable		
bon-sent-I-d1-a1-q2	1	scholion		crossref	relative-bare	loc. cit.			unresolvable		
bon-sent-I-d1-a1-q2	1	apparatus:5	5	crossref	relative-bare	ibid			unresolvable		
bon-sent-I-d1-a1-q2	1	apparatus:14	14	crossref	relative	infra d. 17. p. 1. q. 2.	bon-sent-I-d17-p1-a1-q2		chunk		
bon-sent-I-d1-a1-q3	1	latin_body	11	scripture	body-ordinal	Genesis decimo quinto	Gen 15:1	B	verse		
bon-sent-I-d1-a1-q3	1	scholion		crossref	logical	II. Sent. d. 42. a. 2. q. 1	bon-sent-II-d42-a2-q1		chunk		
bon-sent-I-d1-a1-q3	1	scholion		crossref	relative	infra d. 29. a. 1. q. 1.	bon-sent-I-d29-a1-q1		chunk		
bon-sent-I-d1-a1-q3	1	scholion		crossref	relative-inherited	ibid.	bon-sent-II-d42-a2-q1		chunk		
bon-sent-I-d1-a1-q3	1	scholion		crossref	logical	II. Sent. d. 38. a. 1. q. 3.	bon-sent-II-d38-a1-q3		chunk		
bon-sent-I-d1-a1-q3	1	scholion		crossref	logical	III. Sent. d. 27. a. 2. q. 2.	bon-sent-III-d27-a2-q2		chunk		
bon-sent-I-d1-a1-q3	1	scholion		crossref	logical	II. Sent. d. 38. a. 1. q. 1.	bon-sent-II-d38-a1-q1		chunk		
bon-sent-I-d1-a1-q3	1	apparatus:14	14	crossref	logical	II. Sent. d. 28. a. 1. q. 1.	bon-sent-II-d28-a1-q1		chunk		
bon-sent-I-d1-a2-q1	1	scholion		crossref	logical	III. Sent. d. 29. a. 1. q. 2	bon-sent-III-d29-a1-q2		chunk		
bon-sent-I-d1-a2-q1	1	scholion		crossref	relative	ibid. d. 35. a. 1. q. 1.	bon-sent-III-d35-a1-q1		chunk		
bon-sent-I-d1-a2-q1	1	scholion		crossref	logical	II. Sent. d. 38. a. 1. q. 2.	bon-sent-II-d38-a1-q2		chunk		
bon-sent-I-d1-a2-q1	1	scholion		crossref	work	Hexaem.	work:hexaemeron		work		
bon-sent-I-d1-a2-q1	1	scholion		crossref	logical	II. Sent. d. 24. p. I. a. 2. q. 4	bon-sent-II-d24-p1-a2-q4		chunk		
bon-sent-I-d1-a2-q1	1	scholion		crossref	logical	IV. Sent. d. 49. p. 1. q. 5.	bon-sent-IV-d49-p1-a1-q5		chunk		
bon-sent-I-d1-a2-q1	1	apparatus:20	20	scripture	apparatus-explicit	II. Cor. 5, 7	2Cor 5:7	A	verse		
bon-sent-I-d1-a2-q1	1	apparatus:20	20	crossref	logical	III. Sent. d. 31. a. 2. q. 1.	bon-sent-III-d31-a2-q1		chunk		
bon-sent-I-d1-a2-q1	1	apparatus:27	27	crossref	logical	II. Sent. d. 24. p. 1. a. 2. q. 1.	bon-sent-II-d24-p1-a2-q1		chunk		
bon-sent-I-d1-a3-q1	1	scholion		crossref	relative	infra d. 14. q. 2	bon-sent-I-d14-a1-q2+bon-sent-I-d14-a2-q2		ambiguous		
bon-sent-I-d1-a3-q1	1	scholion		crossref	chain-continuation	d. 29. a. 1. q. 2	bon-sent-I-d29-a1-q2		chunk		
bon-sent-I-d1-a3-q1	1	scholion		crossref	chain-continuation	d. 7. q. 4.	bon-sent-I-d7-a1-q4		chunk		
bon-sent-I-d1-a3-q1	1	scholion		crossref	chain-continuation	d. 25. a. 2. q. 2.	bon-sent-I-d25-a2-q2		chunk		
bon-sent-I-d1-a3-q1	1	scholion		crossref	relative	infra d. 46. q. 5.	bon-sent-I-d46-a1-q5		chunk		
