chunk_id	volume	section	anchor_label	class	subclass	raw_text	normalized_target	confidence	resolution	ibid_resolved	antecedent
bon-brev-p1-c1	5	apparatus:p210-3	p210-3	crossref	page	supra pag. 204, nota 2	bon-brev-prol-s2+bon-brev-prol-s3		page-multi		
bon-brev-p1-c1	5	apparatus:p210-4	p210-4	crossref	page	supra pag. 120, nota 11	tom5:p120		forward		
bon-brev-p1-c1	5	apparatus:p210-5	p210-5	crossref	page	tom. III. pag. 773, nota 5	bon-sent-III-d35-a1-q1		chunk		
bon-brev-p1-c1	5	apparatus:p210-6	p210-6	crossref	page	supra pag. 205, nota 7	bon-brev-prol-s3+bon-brev-prol-s4		page-multi		
bon-brev-p1-c2	5	apparatus:p211-1	p211-1	crossref	work	Quaest. de mysterio Trinitatis	work:mysterio-trinitatis		work		
bon-brev-p1-c2	5	apparatus:p211-1	p211-1	crossref	work	de mysterio Trinitatis	work:mysterio-trinitatis		work		
bon-brev-p1-c2	5	apparatus:p211-1	p211-1	crossref	logical	I. Sent. d. 2.	I:d2		distinctio		
bon-brev-p1-c2	5	apparatus:p211-2	p211-2	scripture	apparatus-explicit	I. Tim. 6, 3	1Tim 6:3	A	verse		
bon-brev-p1-c2	5	apparatus:p211-3	p211-3	crossref	page	tom. III. pag. 245, nota 4	bon-sent-III-d11-a1-q1+bon-sent-III-d11-a1-q2		page-multi		
bon-brev-p1-c3	5	apparatus:p211-6	p211-6	crossref	logical	I. Sent. d. 2. q. 4	bon-sent-I-d2-a1-q4		chunk		
bon-brev-p1-c3	5	apparatus:p211-6	p211-6	crossref	chain-continuation	d. 9. q. 1.	bon-sent-I-d9-a1-q1		chunk		
bon-brev-p1-c3	5	apparatus:p211-6	p211-6	crossref	chain-continuation	d. 10. a. 1. q. 1	bon-sent-I-d10-a1-q1		chunk		
bon-brev-p1-c3	5	apparatus:p211-6	p211-6	crossref	logical	I. Sent. d. 26. q. 4.	bon-sent-I-d26-a1-q4		chunk		
bon-brev-p1-c3	5	apparatus:p212-2	p212-2	crossref	logical	I. Sent. d. 27. p. 1. q. 2.	bon-sent-I-d27-p1-a1-q2		chunk		
bon-brev-p1-c3	5	apparatus:p212-2	p212-2	crossref	chain-continuation	d. 28. q. 1.	bon-sent-I-d28-a1-q1		chunk		
bon-brev-p1-c3	5	apparatus:p212-3	p212-3	crossref	logical	I. Sent. d. 27. p. II. q. 1.	bon-sent-I-d27-p2-a1-q1		chunk		
bon-brev-p1-c3	5	apparatus:p212-3	p212-3	crossref	chain-continuation	d. 31. p. II. a. 1. q. 1.	bon-sent-I-d31-p2-a1-q1		chunk		
bon-brev-p1-c3	5	apparatus:p212-3	p212-3	crossref	chain-continuation	d. 37. p. II. dub. 2.	bon-sent-I-d37-p2-dubia		chunk		
bon-brev-p1-c3	5	apparatus:p212-4	p212-4	crossref	logical	I. Sent. d. 10. a. 1.	bon-sent-I-d10-a1-q1+bon-sent-I-d10-a1-q2+bon-sent-I-d10-a1-q3		articulus		
bon-brev-p1-c3	5	apparatus:p212-4	p212-4	crossref	chain-continuation	d. 18. q. 5.	bon-sent-I-d18-a1-q5		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	logical	I. Sent. d. 22. q. 4	bon-sent-I-d22-a1-q4		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	logical	I. Sent. d. 5. a. 1. q. 1	bon-sent-I-d5-a1-q1		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	chain-continuation	d. 25. a. 1. q. 2.	bon-sent-I-d25-a1-q2		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	chain-continuation	d. 33. q. 2.	bon-sent-I-d33-a1-q2		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	logical	I. Sent. d. 23. a. 1. q. 3	bon-sent-I-d23-a1-q3		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	chain-continuation	d. 26. q. 1.	bon-sent-I-d26-a1-q1		chunk		
bon-brev-p1-c4	5	apparatus:p212-5	p212-5	crossref	logical	I. Sent. d. 22. q. 3.	bon-sent-I-d22-a1-q3		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	logical	I. Sent. d. 26. q. 2	bon-sent-I-d26-a1-q2		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	chain-continuation	d. 27. p. I. q. 3.	bon-sent-I-d27-p1-a1-q3		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	chain-continuation	d. 33. q. 1.	bon-sent-I-d33-a1-q1		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	logical	I. Sent. d. 22. dub. 2	bon-sent-I-d22-dubia		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	chain-continuation	d. 31. p. I. q. 2.	bon-sent-I-d31-p1-a1-q2		chunk		
bon-brev-p1-c4	5	apparatus:p212-7	p212-7	crossref	chain-continuation	d. 24. a. 3. q. 1.	bon-sent-I-d24-a3-q1		chunk		
bon-brev-p1-c4	5	apparatus:p213-2	p213-2	crossref	page	tom. I. pag. 576, nota 1	bon-sent-I-d33-a1-q2+bon-sent-I-d33-a1-q3		page-multi		
bon-brev-p1-c4	5	apparatus:p213-3	p213-3	crossref	logical	I. Sent. d. 23. a. 1. q. 1	bon-sent-I-d23-a1-q1		chunk		
bon-brev-p1-c4	5	apparatus:p213-3	p213-3	crossref	chain-continuation	d. 25. a. 1.	bon-sent-I-d25-a1-q1+bon-sent-I-d25-a1-q2		articulus		
bon-brev-p1-c4	5	apparatus:p213-7	p213-7	crossref	logical	I. Sent. d. 30. q. 1.	bon-sent-I-d30-a1-q1		chunk		
bon-brev-p1-c4	5	apparatus:p213-7	p213-7	crossref	chain-continuation	d. 22. q. 3	bon-sent-I-d22-a1-q3		chunk		
bon-brev-p1-c4	5	apparatus:p213-7	p213-7	crossref	chain-continuation	d. 34. q. 3	bon-sent-I-d34-a1-q3		chunk		
